First Hash - Ehe -- Second Ehe  (sagen,1) (Verhältnis,1) (selbstverständlich,1) (schlagen,1) (Bett,1) (müssen,1)
First Hash - Faust -- Second Faust  (sein,1) (Ausdruck,1) (schwach,1) (ballen,1) (feindselig,1) (Seitentür,1) (Gregor,3) (rufen,1) (Zimmer,1) (Blick,1) (Schwester,1) (eindringlich,1) (»,1) (erhoben,1) (wollen,1) (Vater,1)
First Hash - festgeriegelt -- Second festgeriegelt  (Zimmer,1) (lehnen,1) (Türflügel,1) (Leib,1) (Hälfte,1) (treten,1)
First Hash - Sauce -- Second Sauce  (umgeben,1) (festgeworden,1) (sein,1) (weiß,1) (Gemüse,1) (Rosine,1) (Nachtmahl,1) (verzehren,1) (schmecken,1) (frisch,1) (Käse,1) (Speise,1)
First Hash - Geld -- Second Geld  (sein,2) (Chef,1) (sollen,2) (Leben,1) (Gregor,3) (liefern,1) (gänzlich,1) (aufgeben,1) (nehmen,1) (Eltern,1) (besonderer,1) (leben,1) (einrichten,1) (haben,3) (Haus,1) (ganz,1) (Sparsamkeit,1) (Kind,1) (genügen,1) (Familie,2) (zurücklegen,1) (spät,1) (anwachsen,1) (Vater,1) (Aufwand,1) (beisammen,1) (wiederholt,1) (lassen,1) (alt,1) (dankbar,1) (müssen,2) (überschüssig,1) (Asthma,1) (Schuld,2) (allmonatlich,1) (leiden,1) (Schwester,1) (Mutter,1) (werden,1) (verdienen,4) (Zins,1) (verbringen,1)
First Hash - schmecken -- Second schmecken  (können,2) (sagen,1) (sein,1) (Lieblingsgetränk,1) (Geruch,1) (Essen,1) (Körper,1) (Gregor,1) (Speise,1) (mitarbeiten,1) (haben,1) (Sauce,1) (Milch,1) (schnaufend,1) (werden,1) (frisch,1) (vertragen,1)
First Hash - Gret -- Second Gret  (Lieber,1) (Frau,3) (wehmütig,1) (verweinen,1) (verlocken,1) (Mensch,1) (Stimme,1) (Brief,1) (krank,2) (Gregor,1) (Medizin,1) (antworten,1) (zurückgehen,1) (rufen,1) (Prinzipal,1) (springen,2) (Wort,2) (haben,3) (Lage,1) (Nebenzimmer,1) (Einzug,1) (ätzend,1) (Vater,1) (Befriedigung,1) (lassen,2) (gehen,1) (zurückzusehen,1) (schwer,1) (Auge,1) (erster,1) (öffnen,1) (Mitteilung,1) (Beispiel,1) (Gelegenheit,1) (geben,1) (schlecht,1) (schreien,2) (beherrschen,1) (drücken,1) (Zimmerherre,1) (Arm,1) (schlief,1) (Leiche,2) (sein,5) (Kasten,1) (aufhalten,1) (kommen,1) (Ordnung,1) (Wohnzimmer,2) (Tür,1) (Absicht,1) (eintreten,1) (nehmen,1) (dumpfer,1) (verraten,2) (Gret,4) (zurückkehren,1) (lang,1) (wollen,2) (klar,1) (Gesicht,3) (Aussehen,2) (suchen,1) (getrauen,1) (schreiben,1) (folgen,1) (Samsa,3) (quälen,2) (Tochter,1) (Mutter,4) (umfloß,1) (werden,2) (umfangen,1) (allzukurze,1) (Auftraggeber,1) (wenden,1) (beugen,1) (lächeln,1)
First Hash - Feder -- Second Feder  (Nähzeug,1) (Schwester,1) (laufen,1) (hinwarfen,1) (Mutter,1) (Vater,1)
First Hash - scharf -- Second scharf  (Stunde,1) (beobachten,1) (sein,1) (vorläufig,1) (heben,1) (pflegen,1) (Augenblick,1) (Fenster,1) (Auge,1) (bleiben,1) (öffnen,1) (richten,1) (Apfel,2) (Abend,1) (Kopf,1) (zielen,1) (Wohnzimmertür,1) (Fall,1) (Anblick,1) (voraussichtlich,1) (wollen,1) (werfen,1) (füllen,1)
First Hash - Gasse -- Second Gasse  (einnehmen,1) (stark,1) (Treppenhaus,1) (Wohnung,1) (ganz,1) (lassen,1) (übernachten,1) (entstehen,1) (Fenster,1) (Hand,1) (weit,1) (Sieh,1)
First Hash - Teppich -- Second Teppich  (Bedenken,1) (Rücken,2) (drehen,1) (sein,4) (angeschlagen,1) (liegen,1) (groß,1) (ergießen,1) (voll,1) (Kaffee,1) (haben,2) (legen,1) (abschwächen,1) (Schmerz,1) (Ärger,1) (kennen,1) (rieb,1) (verlassen,1) (geschehen,1) (Strom,1) (Augenblicklich,1) (scheuern,1) (Zustand,2) (Mutter,2) (Fall,2) (Tag,1) (werden,2)
First Hash - kompliziert -- Second kompliziert  (Schloß,1) (hören,1) (Vormerkbuch,1) (Beleg,1) (aufsperren,1) (Entnahme,1)
First Hash - aufnehmen -- Second aufnehmen  (können,1) (allmählich,1) (Gespräch,1) (Schwester,1) (Genüge,1) (erfahren,1) (Tag,1) (unterbrochen,1) (Gregor,1) (erster,1) (neu,1) (Einrichtung,1)
First Hash - Stunde -- Second Stunde  (Rücken,1) (Arbeit,1) (beobachten,1) (Achtuhrzug,1) (Leintuch,1) (Ruhe,1) (pflegen,1) (ordnen,1) (brauchen,1) (Kanapee,1) (haben,1) (fahren,1) (Abend,1) (Wohnzimmertür,1) (Reise,1) (Ersatz,1) (scharf,1) (kräftigen,1)
First Hash - verwinden -- Second verwinden  (Meldung,1) (auffassen,1) (kommen,1) (Bedienerin,1) (tun,1) (Schrecken,1)
First Hash - unbegründet -- Second unbegründet  (Wohnung,1) (Mißtrauen,1) (zeigen,1) (treten,1) (gänzlich,1) (Herr,1)
First Hash - Deutlichkeit -- Second Deutlichkeit  (förmlich,1) (Nachklang,1) (zerstören,1) (beließ,1) (Augenblick,1) (erster,1)
First Hash - Gesicht -- Second Gesicht  (Lieber,1) (hinausgelehnen,1) (verweinen,1) (Stimme,1) (neigen,1) (Gregor,2) (Medizin,1) (bleich,1) (springen,1) (Wort,1) (verbissen,1) (offenbar,1) (haben,3) (Fassung,1) (verletzt,1) (ausbreitend,1) (ätzend,1) (vorhatte,1) (Vater,2) (verlassen,1) (schlafen,1) (niederfließen,1) (behalten,1) (Seite,1) (Fenster,1) (Hand,2) (scheinen,1) (Schwester,1) (Tot,1) (drücken,3) (Wein,1) (Arm,1) (spielen,1) (sein,1) (unauffindbar,1) (weit,1) (schön,1) (wissen,2) (Herumschauen,1) (Gret,3) (bekommen,1) (heftig,1) (mechanisch,1) (genau,1) (Splitter,1) (Hosentasche,1) (Träne,1) (Röcke,1) (Brust,2) (fallen,1) (senken,1) (aufreißen,1) (Mutter,3) (umfloß,1) (verfluchen,1) (werden,1) (abhalten,1) (beweisen,1) (beugen,1)
First Hash - beließ -- Second beließ  (Deutlichkeit,1) (Nachklang,1) (wissen,1) (zerstören,1) (Augenblick,1) (erster,1)
First Hash - lieb -- Second lieb  (nehmen,1) (Zimmer,1) (sein,1) (Stubenmädchen,1) (Provinz,1) (Erinnerung,1) (Kassiererin,1) (flüchtig,1) (Laubsäge,1) (Kasten,1) (Hotel,1) (räumen,1)
First Hash - Witwe -- Second Witwe  (sein,1) (alt,1) (Bedienerin,1) (Leben,1) (lang,1) (Hilfe,1)
First Hash - Zusprache -- Second Zusprache  (leis,1) (wecken,1) (überreden,1) (Mutter,1) (suchen,1) (Vater,1)
First Hash - bogenförmig -- Second bogenförmig  (braun,1) (Versteifung,1) (Bauch,1) (heben,1) (gewölbt,1) (geteilt,1)
First Hash - Schuld -- Second Schuld  (sein,2) (beisammen,1) (nahe,1) (Chef,1) (Tod,1) (dürfen,1) (überschüssig,1) (Eltern,1) (abtragen,1) (abschließen,1) (haben,2) (Geld,2) (Mutter,1) (abzahlen,1) (Vater,1)
First Hash - herauskommen -- Second herauskommen  (sein,1) (Schwester,1) (aufräumen,1) (müssen,1) (erzählen,1) (genau,1)
First Hash - Schmutzstreifen -- Second Schmutzstreifen  (sein,1) (schnell,1) (Wand,1) (liegen,1) (tun,1) (ziehen,1)
First Hash - abtragen -- Second abtragen  (können,1) (Schuld,1) (haben,1) (Chef,1) (Tag,1) (Vater,1)
First Hash - Ungewißheit -- Second Ungewißheit  (Benehmen,1) (Zureden,1) (sein,1) (bedrängen,1) (stören,1) (entschuldigen,1)
First Hash - dauern -- Second dauern  (sagen,1) (Arbeit,1) (Jahr,1) (machen,1) (viertelstündig,1) (fürchten,1) (dürfen,1) (werden,2) (Sache,1) (abzahlen,1) (überanstrengen,1)
First Hash - werden -- Second werden  (Bild,2) (kümmern,1) (Kapital,1) (sollen,9) (Leben,1) (mittlerer,1) (Sorge,1) (springen,1) (Gespräch,2) (ganz,2) (Uhr,1) (ruhig,3) (zurückschicken,1) (aufrecht,1) (Zufälligkeit,1) (lassen,4) (schwerfällig,1) (stecken,1) (entfernen,2) (finden,1) (ansetzen,1) (einstellen,1) (Geschäft,4) (öffnen,6) (Schwester,8) (laufen,1) (überdrüssig,1) (aufblasen,1) (Herr,5) (erschrecken,2) (Hals,2) (zusahen,1) (groß,3) (ein,1) (weit,1) (eintreten,1) (fürchterlich,1) (Leib,1) (Türezuschlagen,1) (bekommen,1) (wollen,1) (Veränderung,1) (erregen,1) (gesammelt,2) (glauben,2) (Zug,1) (erschöpfen,1) (unterbringen,1) (Küche,1) (verdrehen,1) (früh,2) (beginnen,1) (brauchen,4) (offenbar,2) (Erregung,1) (zurücklegen,1) (überflüssig,1) (überanstrengen,1) (verlassen,4) (bewahren,1) (stehen,2) (Sohn,1) (behalten,1) (erfahren,2) (gehen,3) (begründend,1) (schonen,1) (Widerreden,1) (brav,1) (verfault,1) (möglich,1) (gleichzeitig,1) (verschwinden,1) (ähnliche,1) (Prokurist,5) (drücken,1) (faul,1) (Rücksicht,1) (verkaufen,1) (sagen,6) (Kasten,1) (mach,1) (hart,1) (steif,1) (anderer,5) (vernachlässigen,1) (machen,7) (Reisend,1) (Dienst,1) (allgemein,1) (Schnitt,1) (hoffentlich,1) (entsprechen,1) (versperren,1) (Rücken,2) (kurz,1) (setzen,1) (schweigen,1) (Krankheit,1) (gehören,1) (krank,1) (Möbel,1) (wirklich,1) (haben,19) (legen,1) (Nein,1) (helfen,1) (bringen,1) (Arbeit,1) (Schlüssel,2) (ganze,1) (viertelstündig,1) (essen,1) (hereinzubringen,1) (unnötig,1) (Ding,1) (anschrie,1) (entlassen,2) (gut,4) (kommen,5) (entschuldigen,1) (unschuldig,1) (wegschicken,1) (Haus,2) (abschwächen,1) (unangenehm,1) (klein,5) (aufbrauchen,1) (klar,2) (irgendwelcher,1) (richtig,1) (vollständig,2) (herausarbeiten,1) (wahr,1) (schwingen,1) (Forderung,2) (ungestört,1) (Bette,1) (bleiben,2) (aufreißen,1) (riesig,1) (berichten,1) (Nacht,2) (Zimmer,14) (Licht,2) (Richtung,1) (Zeit,1) (Vater,6) (kriechen,1) (hängen,1) (alt,2) (Überlegung,1) (müssen,6) (schwer,2) (Schrecken,1) (eigentlich,1) (Tisch,2) (Konservatorium,2) (auftreten,1) (Ausrede,1) (neugierig,1) (räumen,1) (hinausfliegen,1) (Möglichkeit,1) (Krach,1) (staunen,1) (zuschlagen,1) (wissen,3) (erwarten,2) (augenblicklich,2) (Familie,2) (lang,1) (Seitentüre,1) (gewinnen,1) (hilflos,1) (meinen,1) (erstaunen,1) (überstehen,1) (eingestehen,1) (Besorgnis,1) (Lust,1) (Kanapee,2) (umstellen,1) (Erklärung,1) (Ausblick,1) (Gegenteil,1) (Dunkel,1) (Krankenkassenarzt,2) (sehen,3) (merken,1) (nachdenken,1) (reinig,1) (ausleern,1) (Wand,1) (Bedienerin,2) (überlegen,2) (tun,3) (Gregor,28) (schnitzen,1) (Speise,1) (stoßen,1) (verkäuflich,1) (böse,1) (Aufenthalt,1) (Anblick,2) (befriedigt,1) (versäumen,1) (zeigen,3) (allmählich,4) (hingewenden,1) (erster,2) (Rede,1) (Weise,1) (sprechen,2) (Bett,2) (eintrat,1) (Stock,1) (schreiend,1) (verdecken,1) (vorläufig,1) (Rahmen,1) (schieben,1) (Wohnzimmer,1) (Tür,9) (dürfen,2) (Mann,1) (Eltern,4) (Stelle,1) (versuchen,1) (Stadt,1) (verstummen,1) (Kopf,4) (wohnen,1) (ausfragen,2) (Kraft,1) (Beschwerde,1) (Erfolg,1) (hören,1) (übrig,1) (aushalten,2) (kündig,1) (ausbrechen,1) (Berufsarbeit,1) (Türflügel,1) (Weilchen,1) (melden,1) (Kollektion,1) (Straußfeder,1) (können,11) (Lieber,1) (Besinnung,1) (wegnehmen,1) (Haushalt,1) (ärgerlich,1) (Ruhe,1) (beruhigen,1) (schwach,4) (Vorfall,1) (Notfall,1) (Entschluß,1) (reden,1) (Sinn,1) (Kommi,1) (fragen,4) (hinüberlugen,1) (Hälfte,1) (arbeiten,1) (erheben,3) (Zahn,1) (tragen,1) (Dienstmädchen,3) (leblos,1) (vergehen,1) (Achsel,1) (sein,45) (Lauf,1) (Gering,1) (Unordnung,1) (schließen,1) (Mitte,1) (Absicht,1) (Getrunken,1) (aufmerksam,3) (festgeriegeln,1) (schön,1) (Geld,1) (schmecken,1) (Gret,2) (niederschlagen,1) (Teppich,2) (Gesicht,1) (bezahlen,1) (überzeugen,1) (vorschieben,1) (Träne,1) (bemerken,1) (fallen,1) (mögen,1) (Mutter,3) (Untersuchung,1) (dauern,2) (Milch,1) (werden,6) (wagen,2) (drehen,1) (absehen,1) (Anordnung,1) (erkennen,1) (treffen,1) (hell,1) (Wort,1) (Apfel,1) (schwierig,2) (vernünftig,2) (fühlen,3) (Sessel,1) (äußerer,1) (still,1) (Glück,1) (Violine,1) (Zukunft,1) (Ende,1) (Besorgung,1) (scheinen,3) (grundlos,1) (nötig,1) (geben,1) (Zeug,1) (Abend,2) (sitzen,1) (denken,2) (Rührung,2) (wahrheitsgetreu,1) (heraushören,1) (zusammenpacken,1) (verfolgen,1) (Geldverdienen,1) (wegwerfen,1) (auflösen,1) (aufrütteln,1) (Klemme,1) (überlassen,1) (Tät,1) (verstehen,6) (Spät,1) (Laune,1) (Sachverhalt,1) (Schritt,1) (Türe,1) (wirken,1) (Tag,2) (schicken,1) (unterbrochen,1) (verschieden,1) (Mensch,1) (Stimme,1) (Zuhausebleiben,1) (wegschaffen,1) (aufmachen,1) (Gewissensbisse,1) (versetzen,1) (hübsch,1) (Gedanke,1) (liegend,1) (Platz,1) (Angelegenheit,1) (knochig,1) (Nebenzimmer,1) (breit,1) (hereinbringen,2) (Vorstellung,1) (beobachten,2) (Ankunft,2) (geschehen,3) (Wohnung,1) (zudrücken,1) (anvertrauen,1) (tatsächlich,1) (Fall,2) (fürchten,1) (beherrschen,1) (gefährden,1) (Verstand,1) (spielen,1) (kitzeln,1) (verlangen,1) (Chef,4) (nützlich,1) (närrisch,1) (fertig,2) (Sache,1) (anziehen,1) (Bitte,1) (verdächtig,1) (nehmen,2) (gründlich,2) (wehren,1) (schleppen,1) (aufschrecken,1) (langsam,1) (leer,1) (fleißig,1) (verändern,1) (passend,1) (deuten,1) (pflegen,1) (suchen,1) (verletzen,4) (unmöglich,1) (einschränken,2) (weggeschicken,1) (auslöschen,1) (Wunder,2) (Familienmitglied,1) (hinnehmen,1) (Ersatze,1) (Schreckgestalt,1) (wild,1)
First Hash - beweisen -- Second beweisen  (sagen,1) (Frau,1) (Gesicht,1) (scheinen,1) (Tot,1) (bleich,1)
First Hash - Mittag -- Second Mittag  (Kanapee,1) (wiederkommen,1) (natürlich,1) (Schwester,1) (warten,1) (müssen,1)
First Hash - Quadratmeter -- Second Quadratmeter  (können,1) (liegen,1) (zeigen,1) (Fußboden,1) (ruhig,1) (kriechen,1)
First Hash - flimmern -- Second flimmern  (sein,1) (hilflos,1) (Bein,1) (dünn,1) (kläglich,1) (Auge,1)
First Hash - verweinen -- Second verweinen  (Frau,1) (sein,1) (Gesicht,1) (Tochter,1) (drücken,1) (Gret,1)
First Hash - Hausmeisterin -- Second Hausmeisterin  (Bedenken,1) (nehmen,1) (können,1) (sagen,1) (schicken,1) (Vater,1)
First Hash - städtisch -- Second städtisch  (still,1) (haben,2) (völlig,1) (Charlottenstraße,1) (wohnen,1)
First Hash - treffen -- Second treffen  (sein,1) (unbeweglich,1) (Anordnung,1) (kommen,1) (früh,1) (recht,1) (tun,1) (werden,1) (Sicherheit,1) (erster,1) (Gregor,1) (geraten,1)
First Hash - Gleichgültigkeit -- Second Gleichgültigkeit  (Rücken,1) (sein,1) (schleppen,1) (früh,1) (Seite,1) (groß,1)
First Hash - hell -- Second hell  (klar,1) (sein,2) (stehen,1) (Zimmer,1) (Röckchen,1) (hinüberlugen,1) (Tasche,1) (Leich,1) (werden,1) (Gregor,1) (abgenützt,1)
First Hash - entgegeneilend -- Second entgegeneilend  (flüchten,1) (Tisch,1) (fallen,1) (Arm,1) (Gregor,1) (Vater,1)
First Hash - lärmen -- Second lärmen  (tief,1) (erschrecken,1) (laufen,1) (täglich,1) (atmen,1) (Gregor,1)
First Hash - Wohnungstüre -- Second Wohnungstüre  (zuschlagen,1) (Türe,1) (schnell,1) (hören,1) (reißen,1) (anziehen,1)
First Hash - stundenlang -- Second stundenlang  (verschieden,1) (denken,1) (Lektüre,1) (sein,1) (gegenüberliegend,1) (müde,1) (rühren,1) (scharren,1) (Leder,1) (Wand,1) (groß,1) (halten,1) (Augenblick,1) (spie,1) (Bissen,1) (Zeitung,1) (Abendessen,1) (hinziehen,1) (scheuen,1) (traurig,1) (Mund,1) (Zimmerherre,1) (schlief,1) (sterben,1)
First Hash - Apfel -- Second Apfel  (Rücken,2) (sein,1) (vorläufig,1) (geworfen,1) (entzündet,1) (schleudern,1) (schwach,1) (Gregor,3) (stoßen,1) (fliegen,1) (rot,2) (Apfel,2) (zielen,2) (scharf,2) (klein,2) (Äpfel,1) (entfernen,1) (Umgebung,1) (verfault,1) (Monat,1) (rollen,1) (bleiben,2) (vergehen,1) (leiden,1) (streift,1) (wagen,1) (werden,1)
First Hash - erlösend -- Second erlösend  (fliegen,1) (stark,1) (Stoß,1) (geben,1) (wahrhaftig,1) (Vater,1)
First Hash - süß -- Second süß  (sein,1) (stehen,1) (Milch,1) (Napf,1) (klein,1) (füllen,1)
First Hash - vernünftig -- Second vernünftig  (sein,1) (lassen,1) (Ruhe,1) (kommen,1) (glauben,1) (Mensch,1) (Ende,1) (erinnern,1) (Gregor,1) (staunen,1) (scheinen,2) (kennen,1) (Bett,1) (werden,2) (ruhig,1) (nachdenken,1)
First Hash - halblaut -- Second halblaut  (Gespräch,1) (stören,1) (gesenkt,1) (Kopf,1) (müssen,1) (ziehen,1)
First Hash - Begreift -- Second Begreift  (denken,1) (sein,1) (Sohn,1) (unglücklich,1) (müssen,1) (Gregor,1)
First Hash - Menschenzimmer -- Second Menschenzimmer  (richtig,1) (Zimmer,1) (liegen,1) (ruhig,1) (klein,1) (wohlbekannt,1)
First Hash - ängstigen -- Second ängstigen  (können,1) (Boden,1) (Ursache,1) (liegen,1) (herausfinden,1) (flach,1)
First Hash - Glück -- Second Glück  (haben,1) (Familie,1) (groß,1) (melden,1) (tun,1) (werden,1)
First Hash - Violine -- Second Violine  (Zimmerherr,1) (gehören,1) (beginnen,1) (erinnern,1) (zupfen,1) (Gregor,1) (mittlerer,1) (bescheiden,1) (Zimmer,1) (beteiligen,1) (haben,1) (Bogen,1) (ganz,1) (bereiten,1) (Zeit,1) (ruhig,1) (warten,1) (lohnen,1) (halten,1) (Hand,1) (Rede,1) (Schwester,2) (Note,1) (zurückgelehnen,1) (spielen,4) (lieben,1) (nächster,1) (kommen,1) (vorwärtsbewegend,1) (zitternd,1) (hängend,1) (langsam,1) (lasen,1) (verstummen,1) (andeuten,1) (rauchen,1) (Vergnügung,1) (Zusammensturz,1) (verstehen,1) (Finger,1) (Notwendigkeit,1) (entladend,1) (mögen,1) (lässig,1) (ertönen,1) (Mutter,1) (werden,1) (schrecken,1) (rührend,1) (Musik,1)
First Hash - Eßbarem -- Second Eßbarem  (sein,2) (stehen,1) (haben,1) (Geruch,1) (Napf,1)
First Hash - versorgen -- Second versorgen  (sein,1) (Geschäft,1) (haben,1) (augenblicklich,1) (Leben,1) (Gregor,1)
First Hash - hervorziehen -- Second hervorziehen  (Zeitung,1) (Blatt,1) (haben,1) (geben,1) (lasen,1) (mittlerer,1)
First Hash - umweht -- Second umweht  (betasen,1) (Berührung,1) (Kälteschauer,1) (früh,1) (gleiden,1) (ziehen,1)
First Hash - Napf -- Second Napf  (sein,2) (stehen,1) (Zimmermitt,1) (Verwunderung,1) (Eßbarem,1) (Wohnzimmer,1) (verschütten,1) (Widerwille,1) (voll,1) (Gregor,1) (bemerken,1) (kroch,1) (haben,2) (Wasser,1) (bestimmt,1) (süß,1) (gießen,1) (wahrscheinlich,1) (Milch,2) (wenden,1) (füllen,1)
First Hash - eindrang -- Second eindrang  (Vereinigung,1) (umarmend,1) (stolpernd,1) (Röcke,1) (Vater,1) (gänzlich,1)
First Hash - Morgens -- Second Morgens  (sein,1) (Luft,1) (früh,1) (Fenster,1) (frisch,1) (gänzlich,1)
First Hash - scheuen -- Second scheuen  (stundenlang,1) (scharren,1) (Leder,1) (Mühe,1) (groß,1) (Sessel,1)
First Hash - geben -- Second geben  (Bild,1) (Rat,1) (Gregor,3) (Macht,1) (rufen,1) (besonderer,1) (letzter,1) (wirklich,1) (haben,3) (Gespräch,1) (erlösend,1) (Schwur,1) (erweisen,1) (Blatt,1) (lassen,1) (wahrhaftig,1) (hervorziehen,1) (erster,2) (Zeitung,1) (hallend,1) (treiben,1) (Ton,1) (Geschäft,1) (hineinzustellen,1) (Jahreszeit,1) (Schwester,1) (Bett,1) (geheim,1) (sitzen,1) (Ding,1) (Herr,3) (glatt,1) (kommen,1) (Tür,2) (dürfen,2) (fürchterlich,1) (Eltern,1) (Teil,1) (Boden,1) (Leib,1) (versuchen,1) (ergeben,1) (klein,1) (rauchen,1) (rühren,1) (schmerzhaft,1) (schwingen,1) (Lieber,1) (können,1) (früh,1) (gleiden,1) (Schwung,1) (Mensch,2) (Stimme,1) (Zimmer,3) (handeln,1) (treu,1) (Zeit,2) (Vater,2) (stehen,1) (arme,1) (Wohnung,1) (ausgebreitet,1) (müssen,2) (eigentlich,1) (Ware,1) (Prokurist,2) (Befehl,1) (zurückgelehnen,1) (Fall,1) (drücken,1) (Zimmerherre,1) (Rücksicht,1) (Wohltat,1) (sagen,1) (verlangen,1) (unrecht,1) (Kasten,1) (Krach,1) (Liebe,1) (arbeitsscheuen,1) (angestellter,1) (stören,1) (täglich,1) (lasen,1) (wahrscheinlich,1) (einzig,1) (Gret,1) (Schlag,1) (Lumpen,1) (Hindernis,1) (laut,2) (machen,1) (recht,1) (Samsa,2) (Kanapee,1) (fallen,2) (Spaß,1) (werden,1) (gesund,1) (reinig,1)
First Hash - Abend -- Second Abend  (ausrücken,1) (Gregor,6) (erinnern,1) (schnitzen,1) (Speise,2) (Zimmer,2) (Licht,1) (Geschäftsreise,1) (offen,1) (haben,4) (ganz,2) (nähren,1) (Ersatz,1) (spät,1) (Arbeit,1) (fleckig,1) (leisten,1) (Besprechung,1) (annehmen,1) (Haar,1) (schwer,1) (öffnen,2) (Beispiel,1) (Schwester,1) (geputzt,1) (Zimmerherre,2) (eintrat,1) (sitzen,1) (verkaufen,1) (sein,4) (Lauf,1) (Schlafrock,1) (kosten,1) (schließen,1) (Rahmen,1) (kommen,2) (ein,1) (Tür,1) (lernen,1) (kroch,1) (Haus,1) (Lehnstuhl,1) (Morgen,1) (einnahme,1) (Stadt,1) (erzielt,1) (lang,2) (Seitentüre,1) (scharf,1) (klein,1) (Stunde,1) (Veränderung,1) (vollständig,1) (machen,1) (Heimkehr,1) (allgemein,1) (verzichten,1) (ausnützen,1) (genügend,1) (bleiben,3) (Stenographie,1) (gleichgültig,1) (Wohnzimmertür,2) (Mutter,1) (Tag,1) (sehen,1) (werden,2) (Französisch,1)
First Hash - Unhöflichkeit -- Second Unhöflichkeit  (passend,1) (leicht,1) (Prokurist,1) (hereinlassen,1) (spät,1) (klein,1)
First Hash - dämpfen -- Second dämpfen  (Geräusch,1) (husten,1) (menschlich,1) (tun,1) (bekommen,1) (bemühen,1)
First Hash - drang -- Second drang  (Rücken,1) (unschädlich,1) (förmlich,1) (Blick,1) (schwarz,1) (Doppelkinn,1) (glitt,1) (nachfliegend,1) (Auge,1) (Gregor,1) (buschig,1) (Augenbraue,1)
First Hash - begegnen -- Second begegnen  (können,1) (sein,1) (Blick,1) (Tier,1) (Boden,1) (eng,1)
First Hash - Sprung -- Second Sprung  (verschwinden,1) (ahnen,1) (machen,1) (schreien,1) (Stufe,1) (müssen,1)
First Hash - sitzen -- Second sitzen  (können,1) (Lieber,1) (Bild,1) (Autorität,1) (zerschnitt,1) (Lung,1) (sollen,2) (gelten,1) (erinnern,1) (Gregor,2) (Zimmer,1) (haben,3) (überschreiben,1) (Ohr,1) (Nebenzimmer,1) (Sessel,3) (Vater,3) (hinunterjagen,1) (still,2) (aufrecht,1) (zusammenrücken,1) (lassen,1) (krepieren,1) (freie,1) (Frühstück,1) (Hand,1) (Ehepaar,1) (sichtbar,1) (Tisch,2) (arbeitend,1) (warm,1) (scheinen,1) (Serviette,1) (Ermattung,1) (Andenken,1) (Prokurist,1) (laufen,1) (Schwester,2) (geben,1) (Abend,1) (tatsächlich,1) (entfalten,1) (anbieten,1) (Herr,3) (sein,4) (erlangt,1) (Ehebett,1) (Mitte,1) (Fleisch,1) (Wagen,1) (Eltern,1) (anderer,1) (Haus,1) (Wange,2) (versuchen,1) (Stadt,1) (Auftrag,1) (wollen,1) (herunterneigen,1) (lesen,1) (Sonne,1) (Kanapee,1) (Samsa,1) (bleiben,1) (Mutter,2) (werden,1)
First Hash - wehen -- Second wehen  (drängen,1) (Blatt,1) (Boden,1) (rauschen,1) (einzeln,1) (unerbittlich,1)
First Hash - Nase -- Second Nase  (Art,1) (Ruhe,1) (stören,1) (Zigarre,1) (Rauch,1) (Mund,1)
First Hash - verursacht -- Second verursacht  (Hunger,1) (unmöglich,1) (Schwäche,1) (Mißlingen,1) (machen,1) (Plan,1)
First Hash - Schlafrock -- Second Schlafrock  (sein,1) (Kleiderhaken,1) (nutzlos,1) (haben,1) (Haus,1) (Lehnstuhl,1) (Dieneruniform,1) (empfangen,1) (Abend,1) (hing,1) (Heimkehr,1) (ablegen,1)
First Hash - aufhalten -- Second aufhalten  (sagen,1) (können,1) (Aufregung,1) (sein,1) (unnütz,1) (halten,1) (Fenster,1) (Fläschchen,1) (Gregor,2) (Monat,1) (nehmen,1) (geschlossen,1) (befinden,1) (Gret,1) (Bett,1) (lang,1) (wollen,1)
First Hash - Ordnung -- Second Ordnung  (sagen,2) (Frau,1) (sein,5) (Ruhe,1) (Ohre,1) (Sorge,1) (Zimmer,2) (feststellen,1) (haben,1) (Kopf,1) (zusammenstellen,1) (Gret,1) (bringen,1) (bereit,1) (neu,1) (Willkür,1) (lassen,1) (Gewöhnung,1) (machen,1) (glauben,1) (gehen,1) (finden,1) (unmöglich,1) (Samsa,1) (Schwester,1) (Mutter,1) (peinlich,1) (sehen,1) (einmieten,1) (Ding,1)
First Hash - tränend -- Second tränend  (haben,1) (Befriedigung,1) (verzehren,1) (Rasch,1) (Auge,1) (Käse,1)
First Hash - Rührung -- Second Rührung  (denken,1) (verschwinden,1) (Meinung,1) (Schwester,1) (spüren,1) (Familie,1) (Träne,1) (Liebe,1) (werden,2) (Gregor,1) (ausbrechen,1)
First Hash - übrigbleiben -- Second übrigbleiben  (Gering,1) (sein,1) (Geschäft,1) (haben,1) (Vater,2)
First Hash - Untier -- Second Untier  (aussprechen,1) (Bruder,1) (einsehet,1) (sehen,1) (wollen,1) (Name,1)
First Hash - Zisch -- Second Zisch  (horchend,1) (sein,3) (Kopf,1) (Stück,1) (umgedrehen,1) (Spitze,1) (Stock,1) (unerträglich,1) (Vater,1) (irren,1)
First Hash - Geschmack -- Second Geschmack  (wirklich,1) (Auswahl,1) (ganz,1) (tun,1) (prüfen,1) (bringen,1)
